00:37.164  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:37.559  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:37.952  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:38.348  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:38.747  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:39.150  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:39.554  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:39.956  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:40.375  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:40.771  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:41.196  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:41.573  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:41.979  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:42.391  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:42.815  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:43.216  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:43.606  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:44.008  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:44.432  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:44.820  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:45.237  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:45.643  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:46.030  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:46.439  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1003: 14 obs, success=True, 0.8 min
00:47.103  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:47.535  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:47.962  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:48.348  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:48.747  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:49.148  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:49.564  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:49.974  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:50.370  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:50.764  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:51.170  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:51.545  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:51.938  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:52.350  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:52.762  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:53.157  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:53.571  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:53.973  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:54.383  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:54.778  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:55.184  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:55.594  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:56.003  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:56.399  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:56.787  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:57.184  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:57.590  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:58.008  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1004: 14 obs, success=True, 1.0 min
00:58.687  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:59.113  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:59.539  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
00:59.937  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:00.339  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:00.737  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:01.146  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:01.529  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:01.904  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:02.293  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:02.719  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:03.124  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:03.523  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:03.961  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:04.393  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:04.789  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:05.192  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:05.584  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:05.995  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:06.411  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:06.801  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:07.201  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:07.620  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:08.025  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:08.420  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:08.836  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:09.239  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:09.630  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1005: 14 obs, success=True, 1.2 min
01:10.313  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:10.733  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:11.174  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:11.585  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:12.013  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:12.404  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:12.803  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:13.198  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:13.584  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:13.999  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:14.406  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:14.798  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:15.208  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:15.605  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:16.013  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:16.396  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:16.802  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:17.205  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:17.600  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:17.992  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:18.386  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:18.793  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:19.229  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:19.629  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:20.037  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:20.440  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:20.835  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:21.266  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1006: 14 obs, success=True, 1.4 min
01:21.911  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:22.305  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:22.730  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:23.122  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:23.519  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:23.910  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:24.315  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:24.707  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:25.109  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:25.511  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:25.901  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:26.333  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:26.723  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:27.125  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:27.527  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:27.924  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:28.320  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:28.722  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:29.117  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:29.540  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:29.946  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:30.346  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:30.780  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:31.173  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:31.561  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:31.957  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1007: 13 obs, success=True, 1.5 min
