00:36.372  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:36.745  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:37.146  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:37.542  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:37.934  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:38.327  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:38.729  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:39.132  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:39.537  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:39.947  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:40.356  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:40.765  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:41.180  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:41.556  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:41.962  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:42.377  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:42.798  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:43.186  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:43.593  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:44.002  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:44.415  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:44.831  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:45.220  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:45.624  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:46.044  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:46.419  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1003: 14 obs, success=True, 0.8 min
00:47.100  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:47.534  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:47.944  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:48.338  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:48.729  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:49.149  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:49.579  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:49.956  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:50.352  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:50.746  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:51.142  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:51.527  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:51.922  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:52.335  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:52.743  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:53.147  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:53.554  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:53.957  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:54.367  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:54.762  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:55.175  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:55.577  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:55.990  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:56.384  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:56.768  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:57.166  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:57.589  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:57.991  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1004: 14 obs, success=True, 1.0 min
00:58.687  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:59.112  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:59.522  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
00:59.920  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:00.326  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:00.720  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:01.118  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:01.485  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:01.888  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:02.307  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:02.704  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:03.094  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:03.521  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:03.959  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:04.375  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:04.771  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:05.176  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:05.555  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:05.992  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:06.392  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:06.785  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:07.184  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:07.601  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:08.014  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:08.438  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:08.818  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:09.220  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:09.617  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1005: 14 obs, success=True, 1.2 min
01:10.312  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:10.736  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:11.173  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:11.590  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:11.994  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:12.387  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:12.787  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:13.182  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:13.599  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:13.981  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:14.378  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:14.786  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:15.188  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:15.586  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:15.994  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:16.379  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:16.785  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:17.188  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:17.582  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:17.960  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:18.370  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:18.781  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:19.211  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:19.611  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:20.020  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:20.424  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:20.846  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:21.246  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1006: 14 obs, success=True, 1.4 min
01:21.893  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:22.296  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:22.707  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:23.104  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:23.502  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:23.892  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:24.298  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:24.688  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
