00:43.924  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:44.361  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:44.790  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:45.230  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:45.657  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:46.081  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:46.476  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:46.879  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:47.581  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:48.030  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:48.460  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:48.892  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:49.321  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:49.723  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:50.135  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:50.556  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:51.010  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:51.451  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:51.898  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:52.332  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:52.775  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:53.196  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:53.596  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:54.012  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:54.426  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:54.873  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:55.302  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:55.741  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:56.178  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:56.577  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:56.980  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:57.395  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:57.805  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:58.223  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:58.955  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:59.397  render           | Saved: '/tmp/clearvla_render_opaque.png'
00:59.832  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:00.282  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:00.724  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:01.162  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:01.601  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:02.045  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:02.490  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:02.942  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:03.383  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:03.815  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:04.232  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:04.639  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:05.076  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:05.506  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:05.939  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:06.394  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:06.833  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:07.276  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:07.726  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:08.170  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:08.630  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:09.094  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:09.524  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:09.957  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:10.688  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:11.136  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:11.599  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:12.059  render           | Saved: '/tmp/clearvla_render_opaque.png'
