train 88534 frames / 2520 episodes; val 6148 frames
params: 30.381M
{'step': 4500, 'loss': 0.07090248249471187, 'lr': 9.766722914159347e-05, 'gn': 0.8971735239028931, 'it_s': 1.1646077775485681}
{'step': 4600, 'loss': 0.06831435974687337, 'lr': 9.753327226723689e-05, 'gn': 0.5891847014427185, 'it_s': 1.1649342740864326}
{'step': 4700, 'loss': 0.06616059359163046, 'lr': 9.739568404699373e-05, 'gn': 0.7197288870811462, 'it_s': 1.1650404623491197}
{'step': 4800, 'loss': 0.0662080030888319, 'lr': 9.725447622767756e-05, 'gn': 0.7322627902030945, 'it_s': 1.1651565230027867}
{'step': 4900, 'loss': 0.06599533319473266, 'lr': 9.710966086513087e-05, 'gn': 0.7059611678123474, 'it_s': 1.165208251490937}
{'step': 5000, 'loss': 0.06364427953958511, 'lr': 9.6961250323196e-05, 'gn': 0.7280919551849365, 'it_s': 1.165474196908025}
  val 0.0434
{'step': 5100, 'loss': 0.06590811625123023, 'lr': 9.680925727265946e-05, 'gn': 0.7793373465538025, 'it_s': 1.1646675061634966}
{'step': 5200, 'loss': 0.06457287207245826, 'lr': 9.665369469017004e-05, 'gn': 0.7467678785324097, 'it_s': 1.164790648068278}
{'step': 5300, 'loss': 0.06576968938112258, 'lr': 9.649457585713109e-05, 'gn': 0.9511516094207764, 'it_s': 1.1650240365901}
{'step': 5400, 'loss': 0.06268431831151247, 'lr': 9.633191435856655e-05, 'gn': 0.6720753312110901, 'it_s': 1.1650087285734592}
{'step': 5500, 'loss': 0.06488702699542045, 'lr': 9.616572408196095e-05, 'gn': 0.7325019240379333, 'it_s': 1.164998523793755}
{'step': 5600, 'loss': 0.061598306000232694, 'lr': 9.599601921607398e-05, 'gn': 0.8192486763000488, 'it_s': 1.1652215457158488}
{'step': 5700, 'loss': 0.06309798665344715, 'lr': 9.582281424972894e-05, 'gn': 0.6472581028938293, 'it_s': 1.1652490832151658}
{'step': 5800, 'loss': 0.06199632152915001, 'lr': 9.56461239705758e-05, 'gn': 0.6094785332679749, 'it_s': 1.1651822773096645}
