train 27716 frames / 810 episodes; val 3094 frames
params: 30.281M
/Users/yogyamehrotra/Desktop/ClearVLA/data/dataset.py:64: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  vis = torch.from_numpy(np.asarray(self._mm(t, m)[row]))                                   # (196,768) fp16
{'step': 4200, 'loss': 0.056345425844192505, 'lr': 9.905623006745319e-05, 'gn': 0.8096356987953186, 'it_s': 2.7850635817763707}
{'step': 4300, 'loss': 0.05682552415877581, 'lr': 9.899654641082883e-05, 'gn': 0.6381852030754089, 'it_s': 2.7826190174700067}
{'step': 4400, 'loss': 0.05651540394872427, 'lr': 9.893505422850419e-05, 'gn': 0.6068645119667053, 'it_s': 2.781260887464005}
{'step': 4500, 'loss': 0.054919301867485046, 'lr': 9.887175604818206e-05, 'gn': 0.7993699312210083, 'it_s': 2.7804343565120067}
{'step': 4600, 'loss': 0.053634011149406434, 'lr': 9.880665447180272e-05, 'gn': 0.7617230415344238, 'it_s': 2.7753201271290884}
{'step': 4700, 'loss': 0.05422468587756157, 'lr': 9.873975217543696e-05, 'gn': 0.6050959229469299, 'it_s': 2.772607535207443}
{'step': 4800, 'loss': 0.052273848950862886, 'lr': 9.867105190917617e-05, 'gn': 0.6681937575340271, 'it_s': 2.7688604024698384}
{'step': 4900, 'loss': 0.05237635895609856, 'lr': 9.860055649701919e-05, 'gn': 0.6120721101760864, 'it_s': 2.7672328228310823}
{'step': 5000, 'loss': 0.051063312068581584, 'lr': 9.852826883675633e-05, 'gn': 0.7007431387901306, 'it_s': 2.764715288988635}
  val 0.0402
{'step': 5100, 'loss': 0.051829660180956125, 'lr': 9.845419189985015e-05, 'gn': 0.6580963134765625, 'it_s': 2.758974944463256}
